comment_text,original_line,field_count,clean_text,sentiment,confidence,topic,emotions,anger,disgust,fear,joy,neutral,sadness,surprise,anger_linguistic,disgust_linguistic,fear_linguistic,joy_linguistic,neutral_linguistic,sadness_linguistic,surprise_linguistic,anger_sentence_count,disgust_sentence_count,fear_sentence_count,joy_sentence_count,neutral_sentence_count,sadness_sentence_count,surprise_sentence_count,dominant_emotion
@jonathonterrell2329,8,7,jonathonterrell,neutral,0.8383613228797913,3,"{'anger': 0.004909712355583906, 'disgust': 0.0015265861293300986, 'fear': 0.0029176140669733286, 'joy': 0.04779974743723869, 'neutral': 0.8099133372306824, 'sadness': 0.0542115718126297, 'surprise': 0.07872139662504196}",0.004909712355583906,0.0015265861293300986,0.0029176140669733286,0.04779974743723869,0.8099133372306824,0.0542115718126297,0.07872139662504196,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,neutral
@starvictory7079,24,7,starvictory,neutral,0.7434476017951965,9,"{'anger': 0.005330383777618408, 'disgust': 0.0011363569647073746, 'fear': 0.0031091731507331133, 'joy': 0.35353001952171326, 'neutral': 0.480080783367157, 'sadness': 0.026722583919763565, 'surprise': 0.13009069859981537}",0.005330383777618408,0.0011363569647073746,0.0031091731507331133,0.35353001952171326,0.480080783367157,0.026722583919763565,0.13009069859981537,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,neutral
@UncleWarpy,25,7,unclewarpy,neutral,0.6854387521743774,4,"{'anger': 0.003937623463571072, 'disgust': 0.0026300835888832808, 'fear': 0.0015557658625766635, 'joy': 0.03795311227440834, 'neutral': 0.8094081282615662, 'sadness': 0.05953196808695793, 'surprise': 0.08498331904411316}",0.003937623463571072,0.0026300835888832808,0.0015557658625766635,0.03795311227440834,0.8094081282615662,0.05953196808695793,0.08498331904411316,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,neutral
@linguaphile42,31,7,linguaphile,neutral,0.7696951627731323,2,"{'anger': 0.02348940446972847, 'disgust': 0.09805966168642044, 'fear': 0.0156510341912508, 'joy': 0.015766071155667305, 'neutral': 0.7584151029586792, 'sadness': 0.0377221405506134, 'surprise': 0.05089655518531799}",0.02348940446972847,0.09805966168642044,0.0156510341912508,0.015766071155667305,0.7584151029586792,0.0377221405506134,0.05089655518531799,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,neutral
@AZsunflower,51,7,azsunflower,neutral,0.7336920499801636,1,"{'anger': 0.0035462884698063135, 'disgust': 0.001252423389814794, 'fear': 0.001475054188631475, 'joy': 0.04500240460038185, 'neutral': 0.7918263077735901, 'sadness': 0.04791351407766342, 'surprise': 0.10898392647504807, 'sadness_linguistic': 1.0, 'sadness_sentence_count': 1}",0.0035462884698063135,0.001252423389814794,0.001475054188631475,0.04500240460038185,0.7918263077735901,0.04791351407766342,0.10898392647504807,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,neutral
@FollowTheJohn,53,7,followthejohn,neutral,0.8282370567321777,3,"{'anger': 0.012206929735839367, 'disgust': 0.0008287454256787896, 'fear': 0.00284456554800272, 'joy': 0.037472836673259735, 'neutral': 0.8437654972076416, 'sadness': 0.02185029722750187, 'surprise': 0.08103112876415253, 'sadness_linguistic': 1.0, 'sadness_sentence_count': 1}",0.012206929735839367,0.0008287454256787896,0.00284456554800272,0.037472836673259735,0.8437654972076416,0.02185029722750187,0.08103112876415253,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,neutral
@jonathonterrell2329,61,7,jonathonterrell,neutral,0.8383613228797913,0,"{'anger': 0.004909712355583906, 'disgust': 0.0015265861293300986, 'fear': 0.0029176140669733286, 'joy': 0.04779974743723869, 'neutral': 0.8099133372306824, 'sadness': 0.0542115718126297, 'surprise': 0.07872139662504196}",0.004909712355583906,0.0015265861293300986,0.0029176140669733286,0.04779974743723869,0.8099133372306824,0.0542115718126297,0.07872139662504196,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,neutral
"politicians rarely referred to god like American politicians do all the time. It’s like one of those little flag pins they all started wearing after 9/11. Box ticking.,,NNco4dayC1M",64,2,politicians rarely referred god like american politicians time like one little flag pins started wearing box tickingnncodaycm,negative,0.6920312643051147,4,"{'anger': 0.03250783309340477, 'disgust': 0.004422592464834452, 'fear': 0.021472206339240074, 'joy': 0.006333524826914072, 'neutral': 0.47093790769577026, 'sadness': 0.01147064846009016, 'surprise': 0.45285534858703613}",0.03250783309340477,0.004422592464834452,0.021472206339240074,0.006333524826914072,0.47093790769577026,0.01147064846009016,0.45285534858703613,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,neutral
@linguaphile42,71,7,linguaphile,neutral,0.7696951627731323,3,"{'anger': 0.02348940446972847, 'disgust': 0.09805966168642044, 'fear': 0.0156510341912508, 'joy': 0.015766071155667305, 'neutral': 0.7584151029586792, 'sadness': 0.0377221405506134, 'surprise': 0.05089655518531799}",0.02348940446972847,0.09805966168642044,0.0156510341912508,0.015766071155667305,0.7584151029586792,0.0377221405506134,0.05089655518531799,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,neutral
@andrea_fryer,72,7,andrea_fryer,neutral,0.8328331112861633,5,"{'anger': 0.17525050044059753, 'disgust': 0.0063602859154343605, 'fear': 0.004440008662641048, 'joy': 0.09924942255020142, 'neutral': 0.56180340051651, 'sadness': 0.039442893117666245, 'surprise': 0.11345358192920685}",0.17525050044059753,0.0063602859154343605,0.004440008662641048,0.09924942255020142,0.56180340051651,0.039442893117666245,0.11345358192920685,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,neutral
