comment_text,original_line,field_count,clean_text,sentiment,confidence,topic,emotions,anger,disgust,fear,joy,neutral,sadness,surprise,anger_linguistic,disgust_linguistic,fear_linguistic,joy_linguistic,neutral_linguistic,sadness_linguistic,surprise_linguistic,anger_sentence_count,disgust_sentence_count,fear_sentence_count,joy_sentence_count,neutral_sentence_count,sadness_sentence_count,surprise_sentence_count,dominant_emotion,smart_topic_labels,detected_country,analysis_source,export_timestamp
text: Big power can help these people but they won't.,1,11,text big power help people wont,negative,0.817913293838501,-1,"{'anger': 0.01988999731838703, 'disgust': 0.005315821152180433, 'fear': 0.005175364203751087, 'joy': 0.005396917928010225, 'neutral': 0.3808259069919586, 'sadness': 0.5637627840042114, 'surprise': 0.019633231684565544}",0.01988999731838703,0.005315821152180433,0.005175364203751087,0.005396917928010225,0.3808259069919586,0.5637627840042114,0.019633231684565544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,sadness,Other Topics,International (English),2024-11-28_o95Mt48xVgM_What women in Afghanistan want you to know _ Start Here.csv,2025-06-12T10:17:11.370787
"text: If these females wants to be educated and work let them be, i don’t see any issues here. I feel empathy towards the women and girls here.",2,11,text females wants educated work let dont see issues feel empathy towards women girls,neutral,0.5442852973937988,0,"{'anger': 0.054184675216674805, 'disgust': 0.008611343801021576, 'fear': 0.00244180322624743, 'joy': 0.2055995911359787, 'neutral': 0.6539504528045654, 'sadness': 0.06390483677387238, 'surprise': 0.011307247914373875}",0.054184675216674805,0.008611343801021576,0.00244180322624743,0.2055995911359787,0.6539504528045654,0.06390483677387238,0.011307247914373875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral,Women & Taliban,International (English),2024-11-28_o95Mt48xVgM_What women in Afghanistan want you to know _ Start Here.csv,2025-06-12T10:17:11.370787
text: For a taliban man all have husbands.,6,11,text taliban man husbands,neutral,0.6805968880653381,0,"{'anger': 0.009829212911427021, 'disgust': 0.00340973655693233, 'fear': 0.0014858139911666512, 'joy': 0.014320754446089268, 'neutral': 0.8837906718254089, 'sadness': 0.02840520441532135, 'surprise': 0.058758627623319626}",0.009829212911427021,0.00340973655693233,0.0014858139911666512,0.014320754446089268,0.8837906718254089,0.02840520441532135,0.058758627623319626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral,Women & Taliban,International (English),2024-11-28_o95Mt48xVgM_What women in Afghanistan want you to know _ Start Here.csv,2025-06-12T10:17:11.370787
text: Is this Islam???? Are they really applying Islam here????????? I'm having panic attack bro. These ta*liban soldiers are disgusting.,7,11,text islam really applying islam panic attack bro taliban soldiers disgusting,negative,0.9443851709365845,-1,"{'anger': 0.010042844340205193, 'disgust': 0.632715106010437, 'fear': 0.3426506221294403, 'joy': 0.0032838305924087763, 'neutral': 0.004370532929897308, 'sadness': 0.00481049157679081, 'surprise': 0.0021265314426273108, 'anger_linguistic': 1.2, 'disgust_linguistic': 1.2, 'neutral_linguistic': 1.2, 'anger_sentence_count': 1, 'disgust_sentence_count': 1, 'neutral_sentence_count': 1}",0.010042844340205193,0.632715106010437,0.3426506221294403,0.0032838305924087763,0.004370532929897308,0.00481049157679081,0.0021265314426273108,1.2,1.2,0.0,0.0,1.2,0.0,0.0,1,1,0,0,1,0,0,disgust,Other Topics,International (English),2024-11-28_o95Mt48xVgM_What women in Afghanistan want you to know _ Start Here.csv,2025-06-12T10:17:11.370787
text: END NOW THE DECADES OF COLONIAL BRAINWASHING ILLUSION SCHEME THAT NIGERIA IS A NATION! NIGERIA IS NOT A NATION AND CAN NEVER BE A NATION!,8,11,text end decades colonial brainwashing illusion scheme nigeria nation nigeria nation never nation,negative,0.9155203104019165,26,"{'anger': 0.12788516283035278, 'disgust': 0.04863067343831062, 'fear': 0.057761553674936295, 'joy': 0.023788269609212875, 'neutral': 0.5047500729560852, 'sadness': 0.16713261604309082, 'surprise': 0.07005161792039871}",0.12788516283035278,0.04863067343831062,0.057761553674936295,0.023788269609212875,0.5047500729560852,0.16713261604309082,0.07005161792039871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral,هشامبربه & Nigeria,International (English),2024-11-28_o95Mt48xVgM_What women in Afghanistan want you to know _ Start Here.csv,2025-06-12T10:17:11.370787
"text: PRESERVATION OF GREAT HUMANITY AND POSTERITY CAN NEVER BE OVERLOOKED! THE ACTIONS OF TODAY IS TOMORROW’S HISTORY! DO NOT IGNORE THE TRUTH THAT NIGERIA IS NOT A NATION, IT IS THE COLONIAL ILLUSION SCHEME, BRAINWASHING ARRANGEMENT, PACKAGED AS A NATION!",9,11,text preservation great humanity posterity never overlooked actions today tomorrows history ignore truth nigeria nation colonial illusion scheme brainwashing arrangement packaged nation,positive,0.566687822341919,26,"{'anger': 0.0956645980477333, 'disgust': 0.022917600348591805, 'fear': 0.016854625195264816, 'joy': 0.019006825983524323, 'neutral': 0.7484432458877563, 'sadness': 0.07379183918237686, 'surprise': 0.02332131937146187, 'neutral_linguistic': 0.5, 'joy_sentence_count': 1}",0.0956645980477333,0.022917600348591805,0.016854625195264816,0.019006825983524323,0.7484432458877563,0.07379183918237686,0.02332131937146187,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,1,0,0,0,neutral,هشامبربه & Nigeria,International (English),2024-11-28_o95Mt48xVgM_What women in Afghanistan want you to know _ Start Here.csv,2025-06-12T10:17:11.370787
"text: pashtoons are became most backward ward socities of world. there is no need to use brain . no scientists,no musicians,no films ,no literature.\nmens are warlords  and women are birth machines.\nthey are the descendants of parthiyans or saka people.\neven 1000 years ago there is more freedom for women than now. \nthese people are conquered by arabs and turks and imposed thier culture on them . afganistan must be a specimen for what is the   real islam is.",10,11,text pashtoons became backward ward socities world need use brain scientistsno musiciansno films literaturenmens warlords women birth machinesnthey descendants parthiyans saka peopleneven years ago freedom women nthese people conquered arabs turks imposed thier culture afganistan must specimen real islam,negative,0.8362355828285217,-1,"{'anger': 0.025888776406645775, 'disgust': 0.002459936775267124, 'fear': 0.00557652348652482, 'joy': 0.15672841668128967, 'neutral': 0.39718732237815857, 'sadness': 0.12451885640621185, 'surprise': 0.28764015436172485, 'neutral_linguistic': 1.0, 'neutral_sentence_count': 1}",0.025888776406645775,0.002459936775267124,0.00557652348652482,0.15672841668128967,0.39718732237815857,0.12451885640621185,0.28764015436172485,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,neutral,Other Topics,International (English),2024-11-28_o95Mt48xVgM_What women in Afghanistan want you to know _ Start Here.csv,2025-06-12T10:17:11.370787
text: Islamd is a diease of earth and is a diabolical cult,11,11,text islamd diease earth diabolical cult,negative,0.8972378969192505,0,"{'anger': 0.0544043704867363, 'disgust': 0.011037150397896767, 'fear': 0.7824288010597229, 'joy': 0.03797711431980133, 'neutral': 0.05962492898106575, 'sadness': 0.045549508184194565, 'surprise': 0.008978186175227165}",0.0544043704867363,0.011037150397896767,0.7824288010597229,0.03797711431980133,0.05962492898106575,0.045549508184194565,0.008978186175227165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,fear,Women & Taliban,International (English),2024-11-28_o95Mt48xVgM_What women in Afghanistan want you to know _ Start Here.csv,2025-06-12T10:17:11.370787
"text: I am angry on their behalf, these women deserve more autonomy and freedom, atleast education and right to speak in public and work is basic human right.",12,11,text angry behalf women deserve autonomy freedom atleast education right speak public work basic human right,negative,0.8258819580078125,0,"{'anger': 0.9931100606918335, 'disgust': 0.0007392215775325894, 'fear': 0.0014846663689240813, 'joy': 0.0005093257059343159, 'neutral': 0.0020855972543358803, 'sadness': 0.0012602476635947824, 'surprise': 0.0008108716574497521, 'anger_linguistic': 1.0, 'anger_sentence_count': 1}",0.9931100606918335,0.0007392215775325894,0.0014846663689240813,0.0005093257059343159,0.0020855972543358803,0.0012602476635947824,0.0008108716574497521,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,anger,Women & Taliban,International (English),2024-11-28_o95Mt48xVgM_What women in Afghanistan want you to know _ Start Here.csv,2025-06-12T10:17:11.370787
"text: I believe that someday Afghanistan can get better without holding its women back from excelling in everything. I can see the government wants to make things better, even if it’s gonna take time to get there. Insyaallah",13,11,text believe someday afghanistan get better without holding women back excelling everything see government wants make things better even gonna take time get insyaallah,positive,0.8676835894584656,-1,"{'anger': 0.05138996243476868, 'disgust': 0.0020151115022599697, 'fear': 0.006974510382860899, 'joy': 0.5600752234458923, 'neutral': 0.2669016420841217, 'sadness': 0.026753529906272888, 'surprise': 0.0858900249004364}",0.05138996243476868,0.0020151115022599697,0.006974510382860899,0.5600752234458923,0.2669016420841217,0.026753529906272888,0.0858900249004364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,joy,Other Topics,International (English),2024-11-28_o95Mt48xVgM_What women in Afghanistan want you to know _ Start Here.csv,2025-06-12T10:17:11.370787
