comment_text,original_line,clean_text,sentiment,confidence,text_length,topic,emotions,anger,anger_linguistic,anger_sentence_count,fear,fear_linguistic,fear_sentence_count,disgust,disgust_linguistic,disgust_sentence_count,sadness,sadness_linguistic,sadness_sentence_count,joy,joy_linguistic,joy_sentence_count,none of them,none of them_linguistic,none of them_sentence_count,dominant_emotion
Wir haben die Kommentarfunktion für weitere Kommentare deaktiviert. Auf unserem Kanal findet ihr unsere tagesaktuellen Beiträge. Schaut dort gerne vorbei und diskutiert weiter mit!,1,kommentarfunktion weitere kommentare deaktiviert kanal findet tagesaktuellen beiträge schaut gerne vorbei diskutiert,negative,0.9687791466712952,180,0,"{'none of them': 0.6603620648384094, 'anger': 0.17006969451904297, 'joy': 0.08118287473917007, 'sadness': 0.025235315784811974, 'disgust': 0.0012079316657036543, 'fear': 0.0001354091800749302}",0.17006969451904297,0.0,0.0,0.0001354091800749302,0.0,0.0,0.0012079316657036543,0.0,0.0,0.025235315784811974,0.0,0.0,0.08118287473917007,0.0,0.0,0.6603620648384094,0.0,0.0,none of them
"Wie sollen unsere Deutschen Kinder weiterkommen, wenn Syrer, Libanesen, Ukrainer, Afrikaner, Araber, Türken..und die restliche ganze Welt, mit anderem Kenntnisstand im Unterricht hocken. Und weil se nur Bahnhof verstehen, permanent den Unterricht stören? Falls der überhaupt stattfindet, weil schon wieder Lehrer fehlen. Egal ob Haupt, Realschule. Gymnasium ist es nicht so schlimm",2,sollen deutschen kinder weiterkommen syrer libanesen ukrainer afrikaner araber türkenund restliche ganze welt kenntnisstand unterricht hocken bahnhof verstehen permanent unterricht stören falls überhaupt stattfindet schon lehrer fehlen egal haupt realschule gymnasium schlimm,negative,0.9919672608375549,381,-1,"{'anger': 0.9423313140869141, 'sadness': 0.021936066448688507, 'none of them': 0.02080569788813591, 'disgust': 0.014904270879924297, 'fear': 0.005448499228805304, 'joy': 0.0038475629407912493, 'sadness_linguistic': 0.5, 'sadness_sentence_count': 1, 'disgust_linguistic': 0.5, 'disgust_sentence_count': 1}",0.9423313140869141,0.0,0.0,0.005448499228805304,0.0,0.0,0.014904270879924297,0.5,1.0,0.021936066448688507,0.5,1.0,0.0038475629407912493,0.0,0.0,0.02080569788813591,0.0,0.0,anger
"Ohne Autorität ist bildung undenkbar ??? Indoktrinierung braucht die Peitsche,  aber doch die Bildung nicht.",3,autorität bildung undenkbar indoktrinierung braucht peitsche bildung,negative,0.996860146522522,108,0,"{'anger': 0.856714129447937, 'none of them': 0.08404698222875595, 'sadness': 0.029775401577353477, 'disgust': 0.024720987305045128, 'joy': 0.005485727451741695, 'fear': 0.0004162505501881242}",0.856714129447937,0.0,0.0,0.0004162505501881242,0.0,0.0,0.024720987305045128,0.0,0.0,0.029775401577353477,0.0,0.0,0.005485727451741695,0.0,0.0,0.08404698222875595,0.0,0.0,anger
"Wenn den kindern noch mehr das selbst denken abgewöhnt wird, sind wir eh verloren,  dann denkt die KI für uns und alles wird besser. Gut, man wird dann keine benutzten windeln am badesee finden, weil die Menschen dann zu dumm sind, um überhaupt dahin zu kommen. Dann klebt ihr alle in euren Pot's und bekommt eine virtuelle welt ins hirn projiziert.",4,kindern mehr denken abgewöhnt verloren denkt besser gut benutzten windeln badesee finden menschen dumm überhaupt dahin kommen klebt pots bekommt virtuelle welt hirn projiziert,negative,0.9290648102760315,349,0,"{'anger': 0.9042985439300537, 'disgust': 0.06327277421951294, 'sadness': 0.03098190203309059, 'none of them': 0.014881345443427563, 'joy': 0.0061579919420182705, 'fear': 0.0011789757991209626, 'joy_linguistic': 0.3333333333333333, 'joy_sentence_count': 1, 'sadness_linguistic': 0.3333333333333333, 'sadness_sentence_count': 1, 'anger_linguistic': 0.3333333333333333, 'anger_sentence_count': 1}",0.9042985439300537,0.3333333333333333,1.0,0.0011789757991209626,0.0,0.0,0.06327277421951294,0.0,0.0,0.03098190203309059,0.3333333333333333,1.0,0.0061579919420182705,0.3333333333333333,1.0,0.014881345443427563,0.0,0.0,anger
"Es gibt keine künstliche Intelligenz,  das ist völliger Unfug",5,gibt künstliche intelligenz völliger unfug,negative,0.9799745082855225,61,0,"{'anger': 0.9367518424987793, 'none of them': 0.046264100819826126, 'sadness': 0.014001315459609032, 'disgust': 0.01258020382374525, 'joy': 0.005838651210069656, 'fear': 0.0012750390451401472}",0.9367518424987793,0.0,0.0,0.0012750390451401472,0.0,0.0,0.01258020382374525,0.0,0.0,0.014001315459609032,0.0,0.0,0.005838651210069656,0.0,0.0,0.046264100819826126,0.0,0.0,anger
"Ich bin nicht mehr bereit, mir von solchen Figuren noch IRGENDETWAS sagen zu lassen. Es ist jetzt echt die Grenze des Tolerierbaren erreicht!",6,mehr bereit figuren irgendetwas sagen lassen echt grenze tolerierbaren erreicht,negative,0.9861761927604675,141,-1,"{'anger': 0.9391170144081116, 'none of them': 0.029592351987957954, 'sadness': 0.02553040161728859, 'disgust': 0.014560626819729805, 'joy': 0.006185030099004507, 'fear': 0.001500072656199336}",0.9391170144081116,0.0,0.0,0.001500072656199336,0.0,0.0,0.014560626819729805,0.0,0.0,0.02553040161728859,0.0,0.0,0.006185030099004507,0.0,0.0,0.029592351987957954,0.0,0.0,anger
Extrem spannender Beitrag. Kleine Anmerkung: Vielleicht nächstes Mal auch die KI einladen und fragen was sie davon hält,7,extrem spannender beitrag kleine anmerkung vielleicht nächstes mal einladen fragen davon hält,positive,0.9753491282463074,119,31,"{'joy': 0.6402135491371155, 'none of them': 0.19479741156101227, 'anger': 0.14762619137763977, 'sadness': 0.0062321447767317295, 'disgust': 0.001601356896571815, 'fear': 0.0002444084675516933}",0.14762619137763977,0.0,0.0,0.0002444084675516933,0.0,0.0,0.001601356896571815,0.0,0.0,0.0062321447767317295,0.0,0.0,0.6402135491371155,0.0,0.0,0.19479741156101227,0.0,0.0,joy
Und wer ist der Typ mit der irrer  Frise ?🤣🤣🤣,8,wer typ irrer frise,neutral,0.9720503687858582,45,40,"{'anger': 0.8002526164054871, 'none of them': 0.1754196137189865, 'sadness': 0.014408774673938751, 'joy': 0.008710256777703762, 'disgust': 0.0044389208778738976, 'fear': 0.00026184256421402097}",0.8002526164054871,0.0,0.0,0.00026184256421402097,0.0,0.0,0.0044389208778738976,0.0,0.0,0.014408774673938751,0.0,0.0,0.008710256777703762,0.0,0.0,0.1754196137189865,0.0,0.0,anger
"Was ich mich schon immer gefragt habe ,auf seinem Kopf ,daß ist doch keine normale „Haarbürste“,das muß doch eine 2,5 oder 5 Giga Hertz Antenne sein, über die er Telemetriedaten empfängt ! Er ist in der „KI“ schon viel weiter als wir glauben.",9,schon immer gefragt kopf normale haarbürstedas muß giga hertz antenne telemetriedaten empfängt schon glauben,neutral,0.9522161483764648,242,0,"{'anger': 0.9161998629570007, 'none of them': 0.05106440186500549, 'disgust': 0.012668844312429428, 'sadness': 0.012444507330656052, 'joy': 0.007690386846661568, 'fear': 0.0007321076700463891, 'none of them_linguistic': 1.0, 'none of them_sentence_count': 1}",0.9161998629570007,0.0,0.0,0.0007321076700463891,0.0,0.0,0.012668844312429428,0.0,0.0,0.012444507330656052,0.0,0.0,0.007690386846661568,0.0,0.0,0.05106440186500549,1.0,1.0,anger
"bringt doch KI sämtliche verwaltungstechnische Jobs bei... dann ist es auch möglich für die Firmen endlich im großen Stil die Leute los zu werden... dann kommt dann irgendwann noch der komplette Roboter dazu... zack sind wir alle personaltechnisch uninteressant... gut das werde ich nicht mehr erleben, aber mich freut es für die nachfolgende Generation... nicht mehr arbeiten und trotzdem ähmmm gut leben ähmmm nee dann kommt ja auch kaum noch Geld rein und dann gibt es auch kein Bürgergeld mehr, kein Kindergeld, kein Elterngeld grins... die paar wenige Steuern werden dann komplett ins Ausland geschoben in korrupte Kriege etc... hach was freue ich mich ... nur schade, das ich mir das nicht mehr anschauen kann...",10,bringt sämtliche verwaltungstechnische jobs möglich firmen endlich großen stil leute los kommt irgendwann komplette roboter zack personaltechnisch uninteressant gut mehr erleben freut nachfolgende generation mehr arbeiten trotzdem ähmmm gut leben ähmmm nee kommt kaum geld rein gibt bürgergeld mehr kindergeld elterngeld grins paar wenige steuern komplett ausland geschoben korrupte kriege etc hach freue schade mehr anschauen,negative,0.9917672574520111,718,-1,"{'anger': 0.9483097791671753, 'none of them': 0.026522304862737656, 'sadness': 0.01443595439195633, 'disgust': 0.01121368445456028, 'joy': 0.007496032863855362, 'fear': 0.0031515052542090416, 'joy_linguistic': 0.6, 'joy_sentence_count': 1, 'sadness_linguistic': 0.3, 'sadness_sentence_count': 1, 'anger_linguistic': 0.3, 'anger_sentence_count': 1}",0.9483097791671753,0.3,1.0,0.0031515052542090416,0.0,0.0,0.01121368445456028,0.0,0.0,0.01443595439195633,0.3,1.0,0.007496032863855362,0.6,1.0,0.026522304862737656,0.0,0.0,anger
