comment_text,original_line,clean_text,sentiment,confidence,topic,emotions,neutral,surprise,sadness,joy,fear,anger,disgust,neutral_linguistic,surprise_linguistic,sadness_linguistic,joy_linguistic,fear_linguistic,anger_linguistic,disgust_linguistic,neutral_sentence_count,surprise_sentence_count,sadness_sentence_count,joy_sentence_count,fear_sentence_count,anger_sentence_count,disgust_sentence_count,dominant_emotion
Why malaysia trying to learn english and include it in thier education? While Philippines is using english as second national labguage but it was impose on us.,2,malaysia trying learn english include thier education philippines using english second national labguage impose,negative,0.589218020439148,0,"{'neutral': 0.837200939655304, 'surprise': 0.10142795741558075, 'sadness': 0.041123632341623306, 'joy': 0.008522051386535168, 'fear': 0.00568358926102519, 'anger': 0.0044263750314712524, 'disgust': 0.0016154892509803176}",0.837200939655304,0.10142795741558075,0.041123632341623306,0.008522051386535168,0.00568358926102519,0.0044263750314712524,0.0016154892509803176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral
All thanks to Mahathir!!!!!!!!!!,3,thanks mahathir,positive,0.9834721088409424,0,"{'neutral': 0.6871289610862732, 'surprise': 0.1950250267982483, 'joy': 0.07093042135238647, 'sadness': 0.03789180517196655, 'anger': 0.005639970302581787, 'disgust': 0.001910732127726078, 'fear': 0.0014729959657415748}",0.6871289610862732,0.1950250267982483,0.03789180517196655,0.07093042135238647,0.0014729959657415748,0.005639970302581787,0.001910732127726078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral
"In discussions about educational responsibility, parents are often blamed for students' shortcomings, yet teachers also share responsibility. I’ve witnessed instances of physical discipline that foster fear and harm a student's emotional well-being and learning ability. A student’s emotional health, motivation, and self-esteem play crucial roles in their performance. We should consider all factors affecting students rather than solely blaming parents or teachers, as this broader perspective can lead to more effective support solutions.",4,discussions educational responsibility parents often blamed students shortcomings yet teachers also share responsibility ive witnessed instances physical discipline foster fear harm students emotional wellbeing learning ability students emotional health motivation selfesteem play crucial roles performance consider factors affecting students rather solely blaming parents teachers broader perspective lead effective support solutions,negative,0.5784645825624466,0,"{'fear': 0.7678619027137756, 'anger': 0.10589756071567535, 'sadness': 0.0952337458729744, 'joy': 0.021222561597824097, 'neutral': 0.005241094157099724, 'surprise': 0.004035337828099728, 'disgust': 0.0005076755187474191, 'love_linguistic': 1.0, 'neutral_linguistic': 2.0, 'love_sentence_count': 1, 'neutral_sentence_count': 1}",0.005241094157099724,0.004035337828099728,0.0952337458729744,0.021222561597824097,0.7678619027137756,0.10589756071567535,0.0005076755187474191,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral
Only 5 out of 23 countries that have above OECD average marks teach Math and Science in English. I agree with you that the quality of teachers should be screened.,5,countries oecd average marks teach math science english agree quality teachers screened,neutral,0.7497121691703796,0,"{'neutral': 0.5293927788734436, 'joy': 0.38022392988204956, 'surprise': 0.05080646649003029, 'anger': 0.015165780670940876, 'sadness': 0.015021689236164093, 'fear': 0.004891672171652317, 'disgust': 0.004497712478041649, 'anger_linguistic': 1.0, 'anger_sentence_count': 1}",0.5293927788734436,0.05080646649003029,0.015021689236164093,0.38022392988204956,0.004891672171652317,0.015165780670940876,0.004497712478041649,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,anger
"Only Malaysia have lock down and pandemic, neighbouring countries don't have. But Politics get involve with education, that is what happens...",7,malaysia lock pandemic neighbouring countries dont politics get involve education happens,negative,0.6331957578659058,-1,"{'neutral': 0.5553944110870361, 'sadness': 0.35351985692977905, 'surprise': 0.0360710509121418, 'anger': 0.030940592288970947, 'fear': 0.01330744568258524, 'disgust': 0.007076521869748831, 'joy': 0.0036901216953992844}",0.5553944110870361,0.0360710509121418,0.35351985692977905,0.0036901216953992844,0.01330744568258524,0.030940592288970947,0.007076521869748831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral
"guys, i know the problem, its because they most likely hire women.",11,guys know problem likely hire women,negative,0.7880255579948425,0,"{'neutral': 0.8604549765586853, 'surprise': 0.05143071711063385, 'sadness': 0.04950660094618797, 'anger': 0.012560385279357433, 'joy': 0.010739931836724281, 'fear': 0.008898602798581123, 'disgust': 0.00640880549326539, 'neutral_linguistic': 1.0, 'neutral_sentence_count': 1}",0.8604549765586853,0.05143071711063385,0.04950660094618797,0.010739931836724281,0.008898602798581123,0.012560385279357433,0.00640880549326539,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral
"You asked any Malaysian they tell you Malaysian education is far better than any country in the world, even far better than Singapore, to them Singapore is far behind malaysian. I can hardly disagree with them just to avoid getting into an endless debate 😊😊😊",12,asked malaysian tell malaysian education far better country world even far better singapore singapore far behind malaysian hardly disagree avoid getting endless debate,positive,0.7526037096977234,-1,"{'neutral': 0.4741523265838623, 'surprise': 0.3561309576034546, 'sadness': 0.06907975673675537, 'joy': 0.0686631128191948, 'anger': 0.02679126150906086, 'fear': 0.004380589816719294, 'disgust': 0.0008020518580451608}",0.4741523265838623,0.3561309576034546,0.06907975673675537,0.0686631128191948,0.004380589816719294,0.02679126150906086,0.0008020518580451608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral
"And also to add on. The grading marks for the current examination has been brought tremendously down. Due to this, the SPM students are so daringly saying, ‘teacher don’t worry, the ministry will bring down the grades so that all of us will pass easily’🤦🏽‍♂️",13,also add grading marks current examination brought tremendously due spm students daringly saying teacher dont worry ministry bring grades pass easily,negative,0.6944115161895752,-1,"{'fear': 0.513090193271637, 'joy': 0.3148055970668793, 'surprise': 0.12038055807352066, 'anger': 0.027036676183342934, 'neutral': 0.020207928493618965, 'sadness': 0.003929722122848034, 'disgust': 0.0005493658827617764, 'neutral_linguistic': 1.2, 'neutral_sentence_count': 1}",0.020207928493618965,0.12038055807352066,0.003929722122848034,0.3148055970668793,0.513090193271637,0.027036676183342934,0.0005493658827617764,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral
"Our education system is not bothered about understanding and gaining knowledge but just scoring A's, by reducing the passing marks",14,education system bothered understanding gaining knowledge scoring reducing passing marks,negative,0.7356707453727722,0,"{'anger': 0.4316733777523041, 'disgust': 0.3054717779159546, 'neutral': 0.16795478761196136, 'surprise': 0.04693638160824776, 'sadness': 0.04266318306326866, 'joy': 0.002752067055553198, 'fear': 0.0025483963545411825}",0.16795478761196136,0.04693638160824776,0.04266318306326866,0.002752067055553198,0.0025483963545411825,0.4316733777523041,0.3054717779159546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger
"If Malaysian become too smart, nobody will work in Malaysia too. Not only education is failed but working environment is corrupt and collapse",15,malaysian become smart nobody work malaysia education failed working environment corrupt collapse,negative,0.9070096015930176,0,"{'anger': 0.6781259775161743, 'neutral': 0.15074607729911804, 'sadness': 0.09365878254175186, 'disgust': 0.03478369489312172, 'joy': 0.023628871887922287, 'surprise': 0.013305897824466228, 'fear': 0.005750725045800209}",0.15074607729911804,0.013305897824466228,0.09365878254175186,0.023628871887922287,0.005750725045800209,0.6781259775161743,0.03478369489312172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger
