Countries (ISO2),Countries,Year,Indicators,Result,Analysis [EN],latitude,longitude
AF,Afghanistan,2022,Is the country party to UNESCO Convention against Discrimination in Education?,Yes,Afghanistan ratified the UNESCO Convention against Discrimination in Education on 25/01/2010.,33.0,65.0
AF,Afghanistan,2022,Is the country party to the UN Convention on the Elimination of Discrimination against Women?,Yes,Afghanistan ratified the UN Convention on the Elimination of All Forms of Discrimination against Women on 05/03/2003 with no reservations.,33.0,65.0
AF,Afghanistan,2022,Does the Constitution enshrine the right to education without discrimination?,,The de facto authorities have not adopted a Constitution yet.,33.0,65.0
AF,Afghanistan,2022,Does the legislation enshrine the right to education without discrimination?,It is discriminatory,"Since September 2021, girls are banned from secondary education by the de facto authorities, as well as from post-secondary education since the 20th December 2022.---See: https://www.unesco.org/en/education/emergencies/afghanistan for secondary education and https://twitter.com/hrw/status/1605255842420367370/photo/1 for higher education  ",33.0,65.0
AF,Afghanistan,2022,Are 9 years of primary and secondary education legally compulsory?,No,"Considering that since September 2021, girls are banned from secondary education by the de facto authorities, education ends for them after the 6th grade.---See: https://www.unesco.org/en/education/emergencies/afghanistan for secondary education and https://twitter.com/hrw/status/1605255842420367370/photo/1 for higher education  ",33.0,65.0
AF,Afghanistan,2022,Are 12 years of primary and secondary education legally free?,,The applicable legal framework is unclear. The Education law of 2008 used to provide for at least 12 years of secondary education. ---See: https://www.unesco.org/en/education/emergencies/afghanistan for secondary education and https://twitter.com/hrw/status/1605255842420367370/photo/1 for higher education  ,33.0,65.0
AF,Afghanistan,2022,Is pre-primary education legally free and compulsory?,,The applicable legal framework is unclear. The Education law of 2008 used to provide for free pre-school education but there was no reference to compulsory pre-school education. ,33.0,65.0
AF,Afghanistan,2022,Is equal access to post-secondary education legally guaranteed?,"No, it is discriminatory",Since the 20th December 2022 girls are de facto banned from post-secondary education.---See:  https://twitter.com/hrw/status/1605255842420367370/photo/1 ,33.0,65.0
AF,Afghanistan,2022,Is the legal age of marriage set at least at 18 years old?,No," In December 2021, the de facto authorities have issued a decree on women’s rights, which says that they should not get married without their own consent, but that decree does not specify a minimum age of marriage.",33.0,65.0
AF,Afghanistan,2022,Is the minimum age of employment at least 15 and aligned with the end of compulsory education?,,The applicable legal framework is unclear. Girls are banned from education after the 6th grade. Their right to work is also limited with several bans applying to various fields of work.--- See: UN Women: Women’s rights in Afghanistan one year after the Taliban take-over. (2022).,33.0,65.0
